,Pupil's name,Parental Contact Full Name,Parental Contact Email Address,Academic Year
0,"Nellies, Ronna","Nellies, Purcell",Purcell.Nellies@Demizz.com,2
1,"Andriulis, Rusty","Andriulis, Vassili",Vassili.Andriulis@Brainbox.com,4
2,"Oakeshott, Roberta","Oakeshott, Haskell",Haskell.Oakeshott@Centidel.com,4
3,"Rubinfajn, Lola","Rubinfajn, Tresa",Tresa.Rubinfajn@Edgeblab.com,4
4,"Benedtti, Kamila","Benedtti, Adela",Adela.Benedtti@Trudoo.com,4
5,"Colebourn, Avery","Colebourn, Dalenna",Dalenna.Colebourn@Linktype.com,4
6,"Klimko, Valentino","Klimko, Onofredo",Onofredo.Klimko@Thoughtblab.com,1
7,"Shearwood, Cal","Shearwood, Berne",Berne.Shearwood@Browseblab.com,1
8,"Truswell, King","Truswell, Evvy",Evvy.Truswell@Photospace.com,3
9,"Stichall, Towney","Stichall, Joyann",Joyann.Stichall@Kwimbee.com,1
10,"Mc Dermid, Aubrette","Mc Dermid, Giraldo",Giraldo.Mc Dermid@Oyonder.com,3
11,"Chatres, Adah","Chatres, Dalia",Dalia.Chatres@Jabbercube.com,3
12,"Titterton, Benedikt","Titterton, Zelma",Zelma.Titterton@Blogtag.com,2
13,"Harberer, Rosina","Harberer, Esther",Esther.Harberer@Trilith.com,3
14,"Filinkov, Panchito","Filinkov, Dasi",Dasi.Filinkov@Flashspan.com,3
15,"Strike, Samara","Strike, Harlene",Harlene.Strike@Innojam.com,3
16,"McCormack, Joane","McCormack, Marsiella",Marsiella.McCormack@Zooxo.com,4
17,"Sitlinton, Griffie","Sitlinton, Hunfredo",Hunfredo.Sitlinton@Meedoo.com,2
18,"Silversmidt, Gilberta","Silversmidt, Tawsha",Tawsha.Silversmidt@Babbleblab.com,1
19,"Matkovic, Marjie","Matkovic, Finn",Finn.Matkovic@Youbridge.com,4
20,"Cowterd, Uri","Cowterd, Larina",Larina.Cowterd@Jabbersphere.com,4
21,"Mattisson, Korella","Mattisson, Marsha",Marsha.Mattisson@Flipopia.com,1
22,"Schonfelder, Findlay","Schonfelder, Aldridge",Aldridge.Schonfelder@Dabtype.com,2
23,"Jantzen, Jaquelyn","Jantzen, Jayme",Jayme.Jantzen@Vitz.com,3
24,"Gradwell, Davina","Gradwell, Junie",Junie.Gradwell@Leexo.com,4
25,"Selby, Nicolea","Selby, Rheba",Rheba.Selby@Kwimbee.com,2
26,"Alelsandrovich, Moselle","Alelsandrovich, Quentin",Quentin.Alelsandrovich@Feedfire.com,3
27,"Nieass, Honey","Nieass, Hermon",Hermon.Nieass@Gigabox.com,1
28,"Godfroy, Akim","Godfroy, Maren",Maren.Godfroy@Buzzshare.com,3
29,"Floch, Karole","Floch, Cynthia",Cynthia.Floch@Zava.com,3
30,"Feldbaum, Nata","Feldbaum, Zita",Zita.Feldbaum@Skidoo.com,1
31,"Antonucci, Jaquelin","Antonucci, Mathe",Mathe.Antonucci@DabZ.com,4
32,"Hallums, Candra","Hallums, Raye",Raye.Hallums@Realbridge.com,2
33,"Masters, Den","Masters, Hermon",Hermon.Masters@Photospace.com,1
34,"Marris, Janifer","Marris, Ilyssa",Ilyssa.Marris@Thoughtworks.com,4
35,"Bremmer, Carolus","Bremmer, Gal",Gal.Bremmer@Kanoodle.com,4
36,"Addicote, Casey","Addicote, Vina",Vina.Addicote@Fiveclub.com,1
37,"De Ath, Brigida","De Ath, Alastair",Alastair.De Ath@Eamia.com,2
38,"Severs, Kimberli","Severs, Annabell",Annabell.Severs@Jaxspan.com,4
39,"Blumson, Maribeth","Blumson, Sarajane",Sarajane.Blumson@Topicblab.com,2
40,"Rosenauer, Arabele","Rosenauer, Vernen",Vernen.Rosenauer@Zava.com,3
41,"Cominetti, Madison","Cominetti, Paulie",Paulie.Cominetti@Tekfly.com,2
42,"Knoton, Verina","Knoton, Melantha",Melantha.Knoton@Jabbercube.com,2
43,"Clubbe, Wolfgang","Clubbe, Claudelle",Claudelle.Clubbe@Cogilith.com,2
44,"Mazdon, Davin","Mazdon, Germain",Germain.Mazdon@Ainyx.com,1
45,"McIlwaine, Constantina","McIlwaine, Onfre",Onfre.McIlwaine@Thoughtstorm.com,2
46,"Merredy, Sayre","Merredy, Antoni",Antoni.Merredy@Browsebug.com,1
47,"Jeannot, Rodrick","Jeannot, Gerick",Gerick.Jeannot@Bubbletube.com,2
48,"Guerre, Kain","Guerre, Walker",Walker.Guerre@Roomm.com,1
49,"Fieldstone, Blinni","Fieldstone, Rudolfo",Rudolfo.Fieldstone@Yoveo.com,2
50,"Goscomb, Annabell","Goscomb, Joann",Joann.Goscomb@Photofeed.com,2
51,"Benazet, Clayborn","Benazet, Robers",Robers.Benazet@Devpoint.com,1
52,"Henze, Mahala","Henze, Fredra",Fredra.Henze@Meevee.com,1
53,"Berzen, Lanette","Berzen, Chrisy",Chrisy.Berzen@Roombo.com,4
54,"Ruckhard, Keefer","Ruckhard, Ashlie",Ashlie.Ruckhard@Dynazzy.com,3
55,"Truelock, Merrili","Truelock, Felicdad",Felicdad.Truelock@Meembee.com,2
56,"Goutcher, Joete","Goutcher, Mandi",Mandi.Goutcher@Flipstorm.com,1
57,"Palfreman, Miguelita","Palfreman, Chloris",Chloris.Palfreman@Wikizz.com,4
58,"Mattes, Ossie","Mattes, Issy",Issy.Mattes@Jaxspan.com,4
59,"Vernay, Bear","Vernay, Joanie",Joanie.Vernay@Quaxo.com,2
