,Date of Birth,Pupil Name,This Year's Birthday,Cake Needed On,Month,BDs per Weekday and Month
0,12/21/2013,Ronna Nellies,2022-12-21,Wednesday,December,9
1,12/7/2012,Brion Letson,2022-12-07,Wednesday,December,9
2,12/7/2011,Allianora Padrick,2022-12-07,Wednesday,December,9
3,12/28/2014,Sunny Lanning,2022-12-28,Wednesday,December,9
4,12/21/2014,Allyn Wheldon,2022-12-21,Wednesday,December,9
5,12/7/2011,Kori Feavers,2022-12-07,Wednesday,December,9
6,12/7/2011,Phelia Wines,2022-12-07,Wednesday,December,9
7,12/7/2014,Sib Klink,2022-12-07,Wednesday,December,9
8,12/14/2013,Ertha MacCook,2022-12-14,Wednesday,December,9
9,7/21/2012,Rusty Andriulis,2022-07-21,Thursday,July,12
10,7/7/2012,Colet Featherstonehaugh,2022-07-07,Thursday,July,12
11,7/14/2013,Ingelbert Sessuns,2022-07-14,Thursday,July,12
12,7/28/2014,Doria Oulet,2022-07-28,Thursday,July,12
13,7/28/2015,Ceciley Kubicki,2022-07-28,Thursday,July,12
14,7/21/2013,Davita Reder,2022-07-21,Thursday,July,12
15,7/21/2012,Leopold Banton,2022-07-21,Thursday,July,12
16,7/7/2013,Jeannette Kocher,2022-07-07,Thursday,July,12
17,7/7/2014,Austin Sangwin,2022-07-07,Thursday,July,12
18,7/28/2014,Saul Swaby,2022-07-28,Thursday,July,12
19,7/7/2015,Bettina Forward,2022-07-07,Thursday,July,12
20,7/28/2015,Kissie Burkert,2022-07-28,Thursday,July,12
21,12/4/2011,Roberta Oakeshott,2022-12-04,Friday,December,45
22,12/23/2014,Valentino Klimko,2022-12-23,Friday,December,45
23,12/23/2012,Rosina Harberer,2022-12-23,Friday,December,45
24,12/4/2011,Marjie Matkovic,2022-12-04,Friday,December,45
25,12/4/2013,Blakelee Monery,2022-12-04,Friday,December,45
26,12/9/2011,Nerte Lissandrini,2022-12-09,Friday,December,45
27,12/30/2012,Brose Plumridge,2022-12-30,Friday,December,45
28,12/31/2012,Kelley Shenton,2022-12-31,Friday,December,45
29,12/4/2011,Viva Yukhnini,2022-12-04,Friday,December,45
30,12/31/2012,Smith Okenden,2022-12-31,Friday,December,45
31,12/18/2012,Norbie Shoveller,2022-12-18,Friday,December,45
32,12/30/2014,Baron Sarre,2022-12-30,Friday,December,45
33,12/2/2013,Willette Fibbit,2022-12-02,Friday,December,45
34,12/25/2013,Maurits Petyanin,2022-12-25,Friday,December,45
35,12/31/2012,Darci Brozsset,2022-12-31,Friday,December,45
36,12/16/2013,Afton Ninotti,2022-12-16,Friday,December,45
37,12/9/2012,Woodman Cockman,2022-12-09,Friday,December,45
38,12/3/2013,Twila Grinley,2022-12-03,Friday,December,45
39,12/24/2014,Raynell Behneke,2022-12-24,Friday,December,45
40,12/11/2011,Mab Canepe,2022-12-11,Friday,December,45
41,12/9/2013,Daloris Skillicorn,2022-12-09,Friday,December,45
42,12/3/2012,Karissa Dickon,2022-12-03,Friday,December,45
43,12/24/2011,Angil Grundy,2022-12-24,Friday,December,45
44,12/4/2012,Tanitansy Lowther,2022-12-04,Friday,December,45
45,12/2/2011,Cherie Himsworth,2022-12-02,Friday,December,45
46,12/17/2013,Anthony Paolazzi,2022-12-17,Friday,December,45
47,12/17/2012,Jeannie Clausen-Thue,2022-12-17,Friday,December,45
48,12/11/2012,Maximilianus Hannam,2022-12-11,Friday,December,45
49,12/4/2013,Galvan Pioch,2022-12-04,Friday,December,45
50,12/18/2014,Emmalyn Piegrome,2022-12-18,Friday,December,45
51,12/23/2013,Warden McDonnell,2022-12-23,Friday,December,45
52,12/18/2012,Tristan Parman,2022-12-18,Friday,December,45
53,12/25/2014,Rafaello Shelp,2022-12-25,Friday,December,45
